ticket_id,created_at,updated_at,closed_at,status,priority,category,subcategory,title,description,contour,affected_device,affected_service,reporter,assignee,assignee_team,resolution_time_min,root_cause,resolution,comments
INC-2025-0341,2025-05-06 22:17:00,2025-05-07 00:45:00,2025-05-07 00:45:00,closed,critical,incident,hardware_failure,RAID-контроллер на маршрутизаторе cr-03.ekb — потеря конфигурации,"cr-03.ekb перезагрузился в factory defaults после сбоя storage-контроллера. Все конфигурации потеряны. MPLS-туннели из Екатеринбурга упали. Трафик перешёл на cr-01.msk — cr-02.spb.",PROD-CORE,cr-03.ekb,Региональный офис Екатеринбург,noc-duty@dubaline.local,Алексей Воронов,Core Network,148,"Сбой flash-storage на Huawei NE40E-X4 в Екатеринбурге. Конфигурация не восстановилась из резервной копии (backup оказался устаревшим — 3 недели).","1. Конфигурация восстановлена вручную по последней известной эталонной конфигурации. 2. MPLS-туннели подняты. 3. Flash заменён.","Критично: backup-конфигурации должны сниматься ежедневно. Создана задача на автоматизацию backup через Ansible. Обновлён регламент резервного копирования."
INC-2025-0389,2025-05-19 10:04:00,2025-05-19 10:48:00,2025-05-19 10:48:00,closed,medium,incident,performance,Высокая загрузка CPU на cr-01.msk (>85%) в течение 2 часов,"Мониторинг зафиксировал CPU cr-01.msk >85% с 08:00 до 10:00. Влияние на BGP-таймеры, периодические jitter-пики на VoIP-трафике.",PROD-CORE,cr-01.msk,BGP / VoIP,monitoring-auto@dubaline.local,Алексей Воронов,Core Network,44,"Некорректная политика full table от Rostelecom передала нестандартный BGP UPDATE (>850K префиксов) из-за инцидента на стороне провайдера. JunOS обрабатывал таблицу.","Применён temporary prefix-limit на сессии с Rostelecom (max 650K). Провайдер устранил причину. Prefix-limit снят после нормализации.","Рекомендовано постоянно держать prefix-limit на всех EBGP-сессиях как защитную меру."
CHG-2025-0587,2025-06-02 22:00:00,2025-06-03 00:30:00,2025-06-03 00:30:00,closed,medium,change,planned,Расширение MTU 1500→9216 на всех линках PROD-DC2 для jumbo frames,"Запрос от команды хранилища. iSCSI-трафик требует jumbo frames. Необходимо изменить MTU на всех server-facing портах и uplink'ах в PROD-DC2. Согласовано: Сергей Кириллов.",PROD-DC2,All PROD-DC2 switches,iSCSI / Storage,storage-team@dubaline.local,Михаил Сергеев,Data Center,150,N/A,"MTU 9216 настроен на всех линках PROD-DC2. iSCSI-тесты показали увеличение throughput с 6 Gbps до 9.2 Gbps. Потерь нет.","Рекомендовано провести аналогичные работы в PROD-DC1 (CHG-2025-0640)."
INC-2025-0445,2025-06-18 03:22:00,2025-06-18 05:01:00,2025-06-18 05:01:00,closed,high,incident,network_outage,Отказ Eth-Trunk0 на cr-02.spb — разрыв с PROD-DC2,"В 03:22 Eth-Trunk0 на cr-02.spb перешёл в down state. PROD-DC2 потерял связь с PROD-CORE через основной LAG. Трафик переключился на резервный линк GE3/0/0 (1Gbps) — деградация.",PROD-CORE;PROD-DC2,cr-02.spb,Сервисы PROD-DC2 через PROD-CORE,noc-duty@dubaline.local,Алексей Воронов,Core Network,99,"Физический разрыв одного из patch-кордов Eth-Trunk0 в патч-панели. LACP упал в min-links (требовалось 2 активных линка, осталось 1).","1. Восстановлено физическое подключение XGE2/0/1. 2. Eth-Trunk0 поднялся. 3. Трафик переключён с резервного линка на основной.","Рекомендовано увеличить физическую защиту кабелей в патч-панели. Маркировка LAG-кабелей обновлена."
INC-2025-0512,2025-07-07 13:15:00,2025-07-07 14:30:00,2025-07-07 14:30:00,closed,medium,incident,configuration_error,Проблема DHCP: офисные пользователи в Москве не получают IP-адреса (VLAN-OFFICE-MSK),"Helpdesk зафиксировал массовые обращения: пользователи Москвы не могут получить IP в VLAN 10 (офис). Ошибка «Unable to obtain IP address».",PROD-OFFICE,acc-office-msk-01,Офисная сеть Москва,helpdesk@dubaline.local,Дмитрий Козлов,Campus Network,75,"IP helper-address удалён при работах CHG-2025-0601 на acc-office-msk-01. Команда ip helper-address 172.16.0.10 случайно убрана при копировании конфигурации.","Восстановлен ip helper-address 172.16.0.10 (DHCP-сервер) на SVI VLAN 10. Пользователи получили IP-адреса.","Введён обязательный diff-review до и после apply конфигурации. Diff сохраняется в систему изменений."
CHG-2025-0655,2025-07-21 00:00:00,2025-07-21 03:30:00,2025-07-21 03:30:00,closed,high,change,planned,Установка и ввод в эксплуатацию нового Juniper QFX5120 dc1-leaf-05.msk (PROD-DC1),"Расширение серверной фабрики PROD-DC1. Новый LEAF dc1-leaf-05.msk для подключения 24 новых серверов. Одобрено: Сергей Кириллов. Окно: 00:00-06:00 МСК.",PROD-DC1,dc1-leaf-05.msk (новый),Новые серверы PROD-DC1,infrastructure@dubaline.local,Михаил Сергеев,Data Center,210,N/A,"dc1-leaf-05.msk успешно введён в эксплуатацию. EVPN/VXLAN BGP-сессии с spine'ами подняты. VLAN 100,200,300,400 настроены. Anycast gateway работает. 24 сервера доступны.","Инвентаризация обновлена. Схема сети обновлена."
INC-2025-0601,2025-08-04 09:33:00,2025-08-04 10:55:00,2025-08-04 10:55:00,closed,high,incident,security_incident,Обнаружена попытка сканирования портов из PROD-DMZ,"IDS (Snort) зафиксировал 12 000 попыток TCP SYN-сканирования с хоста 10.0.3.45 (PROD-DMZ) в сторону 10.10.100.0/24 (VLAN-PROD-APP). Источник — скомпрометированный web-сервер.",PROD-DMZ,fw-dmz-01.msk,Серверы приложений PROD-DC1,noc-duty@dubaline.local,Наталья Исаева,Network Security,82,"Компрометация web-сервера (CVE-2024-1234). Злоумышленник использовал уязвимость в Apache. Автоматический scan запускался по расписанию.","1. Хост 10.0.3.45 изолирован в карантинный VLAN. 2. Правила firewall обновлены: запрещён трафик DMZ→APP вне разрешённых портов. 3. Сервер передан команде ИБ для расследования.","Рекомендовано: строгая микросегментация DMZ. Запрет any-to-any трафика. Разработан план сегментации на CHG-2025-0712."
CHG-2025-0731,2025-08-18 22:00:00,2025-08-18 23:45:00,2025-08-18 23:45:00,closed,medium,change,planned,Добавление BGP community 65100:999 (NO-EXPORT) на префиксы DMZ в PROD-CORE,"Запрос от команды безопасности (Наталья Исаева). Префиксы PROD-DMZ не должны анонсироваться провайдерам. Требуется добавить community NO-EXPORT. Согласовано: Сергей Кириллов.",PROD-CORE,"cr-01.msk, cr-02.spb",PROD-DMZ / Интернет-анонсы,network-security@dubaline.local,Алексей Воронов,Core Network,105,N/A,"BGP community 65100:999 добавлен к префиксам DMZ. Проверено: Rostelecom и TransTeleCom не видят DMZ-префиксы. Route-policy PROVIDER-EXPORT обновлена на cr-01.msk и cr-02.spb.","Рекомендовано регулярный аудит BGP-анонсов (ежеквартально)."
INC-2025-0678,2025-09-09 07:45:00,2025-09-09 09:12:00,2025-09-09 09:12:00,closed,critical,incident,network_outage,Деградация MPLS: потеря 30% пакетов на LSP cr-01.msk→cr-02.spb,"MPLS LSP-CR01-TO-CR02-SPB показывает 30% packet loss. Приложения, использующие ЦОД Санкт-Петербург, работают крайне медленно. Бизнес-критичные системы затронуты.",PROD-CORE,cr-01.msk,Все сервисы PROD-DC2 через MPLS,noc-duty@dubaline.local,Алексей Воронов,Core Network,87,"Физическая деградация волоконного линка xe-1/0/0 (cr-01.msk → cr-02.spb): оптический сигнал упал до -14 dBm (норма -3…-10 dBm). Причина — повреждение ВОЛС провайдером физической инфраструктуры.","1. MPLS LSP переключён на резервный путь через cr-03.ekb. 2. Провайдер ВОЛС уведомлён, выехала бригада. 3. Линк восстановлен через 6 часов после замены сегмента ВОЛС.","Рекомендовано диверсифицировать физические трассы cr-01.msk—cr-02.spb. Запрос коммерческого предложения на второй физический маршрут."
INC-2025-0742,2025-09-22 16:02:00,2025-09-22 17:15:00,2025-09-22 17:15:00,closed,medium,incident,performance,Медленная работа VPN-клиентов (удалённые пользователи),"14 обращений в helpdesk: VPN-клиенты (GlobalProtect) работают с высоким latency (>250ms). Скорость загрузки через VPN — 2 Mbps вместо 50 Mbps.",PROD-DMZ,fw-dmz-01.msk,VPN / Удалённый доступ,helpdesk@dubaline.local,Наталья Исаева,Network Security,73,"Исчерпание сессионной таблицы на fw-dmz-01.msk (Palo Alto PA-5250): 98% заполнения (490K/500K сессий). Причина — утечка сессий из-за бага в версии PAN-OS 10.2.4.","1. Применена команда clear session all на non-critical сессиях. 2. Сессионная таблица разгружена до 60%. 3. Установлен PAN-OS hotfix 10.2.4-h4.","Мониторинг сессионной таблицы firewall добавлен в Zabbix (алерт при >80%). Обновление PAN-OS запланировано."
CHG-2025-0821,2025-10-06 00:00:00,2025-10-06 02:30:00,2025-10-06 02:30:00,closed,high,change,planned,Настройка MPLS Fast-Reroute (FRR) на cr-01.msk для всех LSP,"Повышение отказоустойчивости PROD-CORE. Включение RSVP FRR (link protection) для всех TE-туннелей. Одобрено: Алексей Воронов, Сергей Кириллов, Олег Тарасов.",PROD-CORE,"cr-01.msk, cr-02.spb, cr-03.ekb",MPLS / все зависимые сервисы,Алексей Воронов,Алексей Воронов,Core Network,150,N/A,"RSVP FRR настроен на cr-01.msk. Backup-пути precomputed. Тест failover: время переключения при отказе линка — 47 мс. Требование <50 мс выполнено.","FRR успешно функционирует. Следующий этап: настройка FRR на cr-02.spb (CHG-2025-0901)."
